2017 is going to be a bumpy ride . DISCLAIMER. All articles published on this website reflect the views of their original authors; publication here in no way implies automatic agreement or approval of its contents. “If you have tears, prepare to shed them now.” — Shakespeare, Julius Caesar",1
19765,Se reencuentran dos gemeliers separados al nacer,Javi Ramos,"Se reencuentran dos gemeliers separados al nacer LOS EXPERTOS CONFIRMAN QUE SON EJEMPLARES DE LA MISMA CAMADA reencuentro 
Dos gemeliers separados al nacer se han reencontrado hoy tras 18 años sobreviviendo en solitario. Los dos especímenes fueron hallados canturreando en libertad por diferentes puntos de la geografía española. Tras ser capturados por las autoridades forestales en la localidad de Aljarafe, y después de ser observados detenidamente por varios expertos, se ha concluido que se trata de dos miembros salidos de la misma camada. 
Los dos gemeliers son idénticos en todo y se saben de memoria éxitos como “Grandes”, “No hay Nadie como tú” o “Chicas, Chicas”. “En ocasiones emiten sonidos, pero todavía no queremos aventurarnos a decir si se intentan comunicar con nosotros o si están creando una especie de estribillo”, explica el biólogo encargado de su estudio. 
Se cree que la cantidad de gemeliers que habitan en el territorio español puede alcanzar el millar de ejemplares, sin contar con los cientos de ellos que se encuentran de gira por México, Colombia y Ecuador. Ahora que dos de ellos se han juntado, preocupa que más especímenes proliferen sin control por la península, comunicándose entre ellos a kilómetros de distancia gracias a su complejo lenguaje basado en ritmos latinos y estribillos pegadizos. 
Varias protectoras han exigido que los gemeliers sean devueltos a su hábitat natural, en Sevilla, y que se les proteja de las legiones de fans y curiosos que destruyen su ecosistema y violan su intimidad.",1
19766,Desperate Obama RIPS Comey: 'We Don't Operate On Innuendo' | Daily Wire,nan,"Desperate Obama RIPS Comey: 'We Don't Operate On Innuendo' By: November 2, 2016 
Barack Obama must be pretty worried. 
Earlier this week, White House press secretary Josh Earnest told the media that FBI director James Comey’s decision to reopen an investigation into Hillary Clinton didn’t spring from bias or politics. He explained : 
Director Comey is a man of integrity and principle and well regarded by officials in both parties and served as a senior position in the Bush administration and got bipartisan support when his nomination to be director of the FBI was considered by the United States Senate... they speak to his good character and the president's assessment of his integrity and his character has not changed. For example, the president doesn't believe that Director Comey is trying to influence the outcome of the election. And the president doesn't believe he's secretly supporting a candidate or political party. He's in a tough spot. He's the one who will be in the position to defend his actions in the face of significant criticism from a variety of legal experts including officials who served in senior justice position for presidents led by both parties. 
Now, with the polls closing to within the margin of error, President Obama has had second thoughts. He told NowThisNews : 
I do think that there is a norm that when there are investigations we don’t operate on innuendo and we don’t operate on incomplete information and we don’t operate on leaks. We operate based on concrete decisions that are made. When this was investigated thoroughly last time the conclusion of the FBI, the conclusion of the Justice Department, the conclusion of repeated congressional investigations was she had made some mistakes but that there wasn't anything there that was prosecutable. 
It’s worthwhile pointing out the hypocrisy here – Obama’s entire administration has been built on innuendo. His Department of Justice has destroyed police departments around the country with unsubstantiated innuendo about systemic racism. His IRS used innuendo to destroy conservative 501(c)3s. His entire 2012 campaign was rooted in innuendo about Mitt Romney’s supposed secret evils. 
But more than anything, the Obama flip here shows serious desperation. What changed? The polls. On Monday, it looked like the FBI scandal would detract from Hillary’s polling numbers, but wouldn’t kill her. Now it looks like she might go down in flames. This shows how faithless Obama is – Comey was wonderful just up until the point he threatened Hillary’s chances, at which point he became a slanderer trafficking in innuendo. 
If Comey has any stones, he should resign in protest at Obama’s accusations. He’s already been thrown under the bus by his commander-in-chief for not playing dead for him long enough to move Hillary into the White House. He’s got no future in his position no matter what he does. It would be a final redeeming move of honor to tell Obama and his cronies to stuff it now. Tags ",1
19767,,MR,"And what makes you think that, considering that mass incarceration has always stemmed from putting people in prison for a long terms for nonviolent offenses? And don't tell me that debtors prisons are illegal, America routinely breaks its own laws.",1
19768,FranceInfo Changes Text on Its Website About “16-Year-Old” “Ethiopian” “Refugee” in Tears,Andrew Anglin,"October 29, 2016 Before: The tears of a 16-year-old Ethiopian waiting to be registered to leave for an asylum centre. After: The tears of an Ethiopian waiting to be registered to leave for an asylum centre. 
In its weepy coverage of the dismantling of the Jungle invasion staging camp, the publicly-funded FranceInfo propaganda service realised it had gone a bit too far.",1
19769,‘The Birth of a Nation’ Struggles at the Box Office - The New York Times,Brooks Barnes,"LOS ANGELES  —   Any lingering hope that “The Birth of a Nation” could push past a controversy surrounding its star, Nate Parker, to become a financial success and an awards contender appeared to end over the weekend, when it arrived to an estimated $7. 1 million in ticket sales  —   flop territory, especially since the film was backed by an aggressive marketing campaign. “The Birth of a Nation,” which Mr. Parker also directed, wrote and produced, received some stellar reviews but lost momentum as Mr. Parker’s handling of questions on the publicity circuit about his past behavior  —   he was accused and acquitted of rape in 1999  —   triggered a negative reaction toward him and his movie. Over the past week, Mr. Parker generated one damaging headline after another as he appeared on “60 Minutes,” “Good Morning America” and “The Steve Harvey Show” to promote “The Birth of a Nation. ” On Friday, The Hollywood Reporter summed it up in blunt terms: “Nate Parker’s Failed Media Tour: Anger, No Remorse and Oprah’s Advice Ignored. ” Fox Searchlight, having paid the highest price in its history, $17. 5 million, to acquire “The Birth of a Nation,” which dramatizes the 1831 Nat Turner slave revolt, said it was too early to assess the film’s financial picture. “We thought it could be a little higher, but word of mouth is going to be positive, which will allow us to string out to a good result,” said Frank Rodriguez, Searchlight’s head of distribution. “I’m not going to say we are disappointed,” he added. “The Birth of a Nation,”   Aja Naomi King and Armie Hammer, received an A grade in CinemaScore exit polls, Mr. Rodriguez noted.   made up roughly 60 percent of the   audience, he said. To what degree did the toxicity around Mr. Parker dent ticket sales? Mr. Rodriguez said that he was not sure. “It’s a question that we’ve been grappling with,” he said. Hurricane Matthew, which hit Southeastern states over the weekend, appeared to have a limited influence on ticket sales. “The storm didn’t damage it that much,” Mr. Rodriguez said. Given its start, Mr. Parker’s film  —   even with strong word of mouth  —   will be lucky to collect a total of $30 million at the domestic box office, analysts said. Under traditional accounting rules, theater owners would keep about half that total. In addition to the acquisition price, Fox Searchlight spent at least $10 million on marketing. “The Birth of a Nation” is not expected to generate much interest overseas. It tells an American story, and its stars are not well known outside of North America. (In contrast, Fox Searchlight’s “12 Years a Slave,” which collected $131 million overseas in 2013, starred the British actors Chiwetel Ejiofor and Benedict Cumberbatch featured Brad Pitt and won best picture at the Oscars.) In some ways, the poor performance of “The Birth of a Nation,” seen as a corrective to the #OscarsSoWhite maelstrom that consumed Hollywood over the past two years, both opens a corridor for and adds pressure to coming films about   experiences. “Fences,” an adaptation of the August Wilson play starring Denzel Washington and Viola Davis, arrives on Dec. 25. “Moonlight,” a    drama centered on a young black man in Miami, has been set for an Oct. 21 release. (Joining “The Birth of a Nation” in failing to find a wide audience: “Queen of Katwe,” a euphorically reviewed and aggressively marketed Disney drama starring Lupita Nyong’o that has taken in only $5. 4 million since Sept. 23.) For the weekend, the No. 1 movie at North American theaters was “The Girl on the Train,” which collected about $24. 7 million, according to comScore, which compiles box office data. Distributed by Universal and produced by DreamWorks Pictures, a division of Steven Spielberg’s Amblin Partners, “The Girl on the Train” cost about $45 million to make. Based on the best seller by Paula Hawkins, “The Girl on the Train,” starring Emily Blunt as an alcoholic who becomes wrapped up in a murder, received weak reviews and a   grade in CinemaScore exit polls, which could hurt it in the weeks ahead. “Miss Peregrine’s Home for Peculiar Children” (20th Century Fox) was second, taking in about $15 million, for a   domestic total of $51. 1 million. Third place went to “Deepwater Horizon” (Lionsgate) with about $11. 8 million in ticket sales, for a   domestic total of $38. 5 million. Despite playing in 2, 105 theaters, Mr. Parker’s film did not crack the top five.",0
19770,,ACT I,"If “Peaceful Uprising [is] a climate justice group that describes its task as ‘working to build an uncompromising movement to defend a livable future,’” why does it not recognize that there may BE no such thing?! After all, Dr. David Wasdell ( http://www.apollo-gaia.org/Har... , p. 15) wrote last year: “An increase of 1.5°C was implicit by around 1965. 2°C was implicit by about1978. So 2°C was already in the pipeline towards the end of the 1970s. Today we are under the illusion that reducing our emissions will still keep us under 2°C!”
If Dr. Wasdell is right about us living now with an “illusion,” the efforts of the Peaceful Uprising people are POINTLESS, and worse! Why doesn’t Dahr Jamail realize this? Why does he insist on keep feeding us a PARTIAL dose of the truth, not the WHOLE truth?!",1
19771,Tony Blair suggests a second referendum to reverse Brexit,admin,"Tony Blair suggests a second referendum to reverse Brexit Tony Blair suggests a second referendum to reverse Brexit By 0 149 
Former British Prime Minister Tony Blair says Britain should keep its “options open” on whether or not to leave the European Union until after Brexit talks with the bloc are completed. 
During an interview on Friday with BBC Radio 4’s “Today” program, Blair described the EU referendum as “a catastrophe” and said UK voters should be given the option of a second EU referendum. 
Britain should not withdraw from the EU until it becomes clearer how Brexit would impact UK’s economic, social and cultural future, Blair said. 
“The bizarre thing about this referendum is that we took a decision but we still don’t know the precise terms,” he said. “There’s got to be some way, either through parliament, or through an election, possibly through another referendum, that people express their view.” 
The former premier, who was in office from 1997 until 2007, said it should be possible for the public to switch their verdict if it becomes clear the…",1
19772,ESPN’s Sage Steele Under Attack for Criticizing Airport Protests After She Missed a Flight - Breitbart,Warner Todd Huston,"The disruptions caused by protesters at Los Angeles International airport caused ESPN host Sage Steele to miss a flight. Now Steele is under attack for jumping to Instagram to rail about the protests that caused her such inconvenience. [On Friday, President Trump issued his temporary moratorium on immigration from a list of seven countries the Obama administration had flagged as “countries of concern” back in 2015. Almost immediately liberal activists flooded into several big city airports across the country to protest the order.  One of those groups of disruptors descended upon LAX just as NBA Countdown host Steele was attempting to catch a flight, the Philadelphia Inquirer reported. Steele complained that the protesters caused her to walk nearly two miles in order to catch a flight to Houston and delayed her long enough for her to miss the flight. Steele felt exasperated enough to jump on her Instagram account and decry the protesters for causing “elderly and parents with small children” to have to walk long distances to reach flights. “I love witnessing people exercise their right to protest! But it saddened me to see the joy on their faces knowing that they were successful in disrupting so many people’s travel plans,” she added.  But not long after posting her complaint, some of her sports reporter colleagues began to slam her for attacking the protesters. On Twitter, Sports Illustrated writer Michael Silver slapped Steele, saying the protesters were “right” for doing what they did. Sometimes standing up for what’s right provokes inconvenience and all  …     https:  .   —   Michael Silver (@MikeSilver) January 30, 2017,  Steele replied that Silver didn’t actually read what she wrote. @MikeSilver better, more effective ways to do it, Silver!    my post.  Don’t worry  —   we can arm wrestle over it this week in Houston,  —   Sage Steele (@sagesteele) January 30, 2017,  Julie   another wealthy, white reporter for ESPN, also chided Steele for her Instagram post. I understand the inconvenience of missing a flight etc, but why people are protesting   inhumane   is much bigger than that. https:  .   —   Julie   (@JSB_TV) January 30, 2017,  Steele again replied that   must have missed the part where she said she supports people protesting for their political ideals and told   to   her Instagam post. Steele has engaged in political debate in the past. Last year she slammed the players protesting the national anthem, warning people to “look up the word democracy. ” Hey @MikeEvans13_ look up definition of the word DEMOCRACY  remember this pic while   your right to protest #perspective pic. twitter.   —   Sage Steele (@sagesteele) November 14, 2016,  The ESPNer also slammed African Americans for attacking other African Americans for having opinions that run contrary to the   wisdom. Follow Warner Todd Huston on Twitter @warnerthuston or email the author at igcolonel@hotmail. com.",0
19773,Pope Francis: The Cross Is ‘Not a Piece of Jewelry’ But Symbol of Christian Faith,"Thomas D. Williams, Ph.D.","The Christian cross is “not an adornment for the house or a piece of jewelry to wear,” but a reminder of Christ’s love in saving mankind from evil and sin, Pope Francis said Sunday. [In his weekly Angelus message, the Pope reflected on the Sunday gospel reading that depicts Jesus transfigured before three of his disciples on Mount Tabor. Christ “wanted to reveal his glory to his disciples not to prevent them from experiencing the cross, but to show where the cross leads,” Francis said. “Whoever dies with Christ, will rise again with Christ. And the cross is the door of the resurrection. ”  “Those who fight together with Him, will triumph with Him. This is the message of hope that the cross of Jesus contains, urging us to courage in our lives,” he said. “The Christian cross is not a decoration for the house or a piece of jewelry to wear,” Francis continued, but “a reminder of the love with which Jesus sacrificed himself to save mankind from evil and sin. ” Sunday’s Angelus was the Pope’s first public appearance since returning to Rome from a   retreat in the Italian town of Ariccia. “In this Lenten season, let us devoutly contemplate the image of the crucifix, Jesus on the cross,” Francis said Sunday. “This is the symbol of the Christian faith, the emblem of Jesus, who died and rose for us. ” “Let us make sure that the Cross marks the stages of our Lenten journey to understand ever more fully the seriousness of sin and the value of the sacrifice with which the Redeemer saved us all,” he said. Christ revealed himself to his followers as a different type of Messiah than they were expecting, Francis said, and this difference reaches its culmination in the apparent defeat of the cross. As Messiah, Jesus was not “a powerful, glorious king, but a humble, defenseless servant,” Francis said, “not a gentleman of great wealth —  a sign of blessing —  but a poor man with nowhere to lay his head not a patriarch with numerous offspring, but an unmarried man without house or home. ” “It really is an   revelation of God,” the Pope said, “and the most disconcerting sign of this scandalous reversal is the cross. But precisely through the cross, Jesus will reach his glorious resurrection, which will be final, not like this transfiguration which lasted a moment, an instant. ” Follow Thomas D. Williams on Twitter  Follow @tdwilliamsrome.",0
19774,The US Military lied to thousands of soldiers — and now Veterans are paying for it,Alice Salles,"VIDEOS The US Military lied to thousands of soldiers — and now Veterans are paying for it Reevaluating how the U.S. government goes about irresponsibly sending these men and women abroad to fight insurgents who didn’t pose a threat to Americans By Alice Salles - October 26, 2016 
Shortly after the U.S. invasion of Iraq, the Pentagon hired Bell Pottinger, a London-based PR agency. The PR firm was tasked with promoting what the Pentagon called “democratic elections” in Iraq, ultimately earning over a hundred million dollars yearly. Part of the firm’s job included producing “fake al Qaeda propaganda films,” the Bureau of Investigative Journalism recently reported . 
Despite the PR operation’s hefty price tag, the Pentagon seemed to have no issue allocating taxpayer resources to have these videos produced. But over ten years after the Iraq invasion, the Pentagon is now concerned about its past appropriations — at least part of them, anyway. 
Ten years after promising $15,000 bonuses to soldiers willing to re-enlist in 2006 and 2007, the Pentagon is now forcing California veterans to pay back the bonuses. 
The Los Angeles Times reports , “officials signed up soldiers in assembly-line fashion” in 2006 and 2007, outlining the “generous terms available for six-year reenlistments” to those willing to sacrifice their safety, leaving their homes, once again, to fight abroad in exchange for a large bonus. Now, the Pentagon wants their money back. To Get Soldiers to Re-enlist, the National Guard Lied 
In 2008, the movie Stop-Loss highlighted a reality few members of the public were informed about. 
With the growing involvement of U.S. military forces in Iraq and Afghanistan, soldiers who had already served in Iraq and Afghanistan for several tours were being asked to reenlist. Sometimes, these soldiers’ term duties were extended forcefully via the government’s controversial stop-loss policy , which allows the government to extend the period a soldier must spend on active duty involuntarily. 
In California, the state’s National Guard began promising thousands of soldiers that they would receive $15,000 bonuses for going back to war. 
Now, nearly 10,000 soldiers who took the National Guard’s promise at face value are being ordered to pay back the bonuses plus interest. In some cases, their wages are being garnished to fund the payments. 
This issue was first brought up when veterans “ whose only mistake was to accept bonuses offered when the Pentagon needed to fill the ranks” were the target of an investigation launched in 2010. 
After receiving reports of improper payments, a federal probe found “thousands of bonuses and student loan payments were given to California Guard soldiers who did not qualify for them, or were approved despite paperwork errors.” 
As a result of the investigation, Army Master Sgt. Toni Jaffe, who also served as the California Guard’s incentive manager, pleaded guilty to filing false claims totaling $15.2 million in 2011. Jaffe was sentenced to spend 30 months in federal prison, and three other officers who also pleaded guilty to fraud were put on probation. 
Breaking the National Guard’s promise to soldiers whose reenlistment depended on the bonus distribution, the California Guard “assigned 42 auditors to comb through paperwork for bonuses and other incentive payments given to 14,000 soldiers.” 
In September 2016, these auditors finalized the investigation, finding roughly 9,700 current and retired soldiers who had been given “improper” bonuses. These soldiers have been told “to repay some or all of their bonuses” since the probe was launched and the first cases were discovered. 
According to the California National Guard, these repayments have recovered more than $22 million so far, compromising veterans like Robert Richmond, who now works for a construction company in Texas. He was an Army Sergeant First Class living in Huntington Beach when in 2006, he was asked to reenlist. 
“I signed a contract that I literally risked my life to fulfill,” Richmond explained , adding that he only agreed to go back to war because he was told he qualified for a $15,000 bonus as a special forces soldier. 
The veteran had gone through a divorce after being deployed to Afghanistan in 2002 and 2003. Asked to consider the bonus to reenlist, Richmond thought the money was going to give him “breathing room,” so he agreed. In 2007, he was sent to Iraq’s “ Triangle of Death ,” an area a few miles south of Baghdad known for intense fighting. 
In one of the hundreds of missions against insurgents he was a part of, Richmond sustained permanent back and brain injuries after his vehicle triggered a roadside bomb. 
In 2014, the California Guard headquarters contacted him, letting the former special forces soldier know he was being urged to repay the $15,000 bonus he received in 2006. If he failed to make the payment, the letter said , he would face “debt collection action.” 
Richmond refused to give the government any money back, filing appeal after appeal. “[Impacted soldiers] want somebody in the government, anybody, to say this is wrong and we’ll stop going after this money,” he said . ‘Support the Troops!’: Code for ‘Don’t Question War?’ 
In Washington, D.C., lawmakers have condemned the Pentagon, saying the soldiers were not at fault for accepting a bonus they were promised. 
Promising to open an investigation into the enlistment bonus problem, House Majority Leader Kevin McCarthy (R-CA) called the Pentagon’s demands “disgraceful.” 
“The Department of Defense should waive these repayments,” McCarthy said in a statement . “The House will investigate these reports to ensure our soldiers are fully honored for their service,” he added. 
Rep. McCarthy says the government should not be demanding any money back from veterans in his statement. The California Republican and also argued that “we are the ones who owe a debt for the great sacrifices our heroes have made — some of whom unfortunately paid the ultimate sacrifice.‎” 
Instead of using this opportunity to highlight the importance of safeguarding our soldiers and keeping them from engaging in unconstitutional wars that are only successfully sold to the American public because administrations lie , McCarthy celebrates these very soldiers’ sacrifices. 
Using this discussion to repeat the traditional “support the troops” line, lawmakers like McCarthy steer the debate away from what’s causing these soldiers so much pain and distress , acting as if relentless war hasn’t been the reason they were lied to. Instead, McCarthy and others are pushing the government to keep its promise without reevaluating how the U.S. government goes about irresponsibly sending these men and women abroad to fight insurgents who didn’t pose a threat to Americans at the time . 
In the 1964 film, The Americanization of Emily , which was based on a novel written by a veteran who had been a SeaBee officer on D-Day, character Lt. Comdr. Charles E. Madison gives a short speech explaining that “[those] who make heroes of our dead and shrines of our battlefields … perpetuate war by exalting its sacrifices.” 
Failing to discuss the real costs of war with the American electorate while exalting the sacrifices made by those who serve in the military is part of an ongoing campaign — deliberate or otherwise — to keep America involved in perpetual war. 
Don’t believe me? Don’t take my word for it. Instead, read what journalist Randolph Bourne had to say about the country’s thirst for war in 1918: In times of peace, we usually ignore the State in favour of partisan political controversies, or personal struggles for office, or the pursuit of party policies. It is the Government rather than the State with which the politically minded are concerned. The State is reduced to a shadowy emblem which comes to consciousness only on occasions of patriotic holiday. … “With the shock of war, however, the State comes into its own again. The Government, with no mandate from the people, without consultation of the people, conducts all the negotiations, the backing and filling, the menaces and explanations, which slowly bring it into collision with some other Government, and gently and irresistibly slides the country into war. 
War, Bourne concluded , “is the health of the state.” This is not because all individuals involved with governing enjoy death and destruction per se , but because “it is … in war that the urgency for union seems greatest, and the necessity for universality seems most unquestioned,” which forces the public to unite behind the state no matter what — especially if the occasion leading to war is “terrifying” the public. 
While veterans whose bonuses are being questioned ten years later should be heard and protected from government abuse, we must not forget it was government’s own thirst for war that initiated this cycle of deception. Let us not ignore the reasons why we should support our troops — and how we should go about it; simply claiming to be interested in celebrating U.S. soldiers for their sacrifice does nothing for them.",1
19775,Trump’s Economic Cabinet Picks Signal Embrace of Wall St. Elite - The New York Times,Landon Thomas Jr. and Alexandra Stevenson,"In a campaign commercial that ran just before the election, Donald J. Trump’s voice boomed over a series of Wall Street images. He described “a global power structure that is responsible for the economic decisions that have robbed our working class, stripped our country of its wealth, and put that money into the pockets of a handful of large corporations. ” The New York Stock Exchange, the hedge fund billionaire George Soros and the chief executive of the investment bank Goldman Sachs flashed across the screen. Now Mr. Trump has named a former Goldman executive and   with Mr. Soros to spearhead his economic policy. With Wednesday’s nomination of Steven Mnuchin, a Goldman trader turned hedge fund manager and Hollywood financier, to be Treasury secretary, a new economic leadership is taking shape in Washington. Mr. Mnuchin will join Wilbur L. Ross Jr. a billionaire investor in distressed assets, who has been chosen to run the Commerce Department, and Todd Ricketts, owner of the Chicago Cubs, who has been picked to be deputy commerce secretary. All are superwealthy and to be overseen by the first billionaire president in United States history. That two investors  —   Mr. Mnuchin and Mr. Ross  —   will occupy two major economic positions in the new administration is the most powerful signal yet that Mr. Trump plans to emphasize policies friendly to Wall Street, like tax cuts and a relaxation of regulation, in the early days of his administration. While that approach has been cheered by investors (the stocks of Bank of America, Goldman Sachs and Morgan Stanley have been on a tear since the election) it stands in stark contrast to the populist campaign that Mr. Trump ran and the support he received from   voters across the country. Anthony Scaramucci, a hedge fund executive and member of the Trump transition team, insisted on Wednesday that appointing wealthy investors did not contradict the campaign’s populist message. “The   people of the United States, they need a break,” Mr. Scaramucci said. “And we need to switch them from going from the working class into the working poor into what I call the aspirational working class, which my dad was a member of. ” Still, Democrats were quick to attack the latest nomination. “Steve Mnuchin is just another Wall Street insider,” Senator Bernie Sanders of Vermont and Senator Elizabeth Warren of Massachusetts said in a joint statement. “That is not the type of change that Donald Trump promised to bring to Washington  —   that is hypocrisy at its worst. ” So far, none of the nominees who will be shaping economic policy have any significant experience in government. Mr. Mnuchin, 53, and Mr. Ross, 79, are both familiar with buying distressed properties and selling for a profit. But they are political neophytes with scant experience in managing large organizations. They will oversee two government agencies that together employ about 130, 000 people around the world. In the case of Mr. Mnuchin at Treasury, his experience as a principal investor who made large sums of money through     wagers suggests that he will look critically at the thicket of regulations that now constrain the   activities of investment banks. That could mean a reassessment of what has come to be known as the Volcker Rule, part of the   financial overhaul that followed the 2008 financial crisis. The rule forbids banks to make certain speculative investments with their own capital. “I would say the No. 1 problem with the Volcker Rule is it’s too complicated and people don’t know how to interpret it,” Mr. Mnuchin said in an interview with CNBC on Wednesday. “So we’re going to look at what to do with it as we are with all of  . The No. 1 priority is going to be to make sure that banks lend. ” In the interview, Mr. Mnuchin also said he would look to cutting corporate tax rates as a way to increase economic growth. And he said the wealthy would not see a big tax cut. “Any reductions we have in   taxes will be offset by less deductions so that there will be no absolute tax cut for the upper class,” Mr. Mnuchin said in the interview. “There will be a big tax cut for the middle class, but any tax cuts we have for the upper class will be offset by less deductions that pay for it. ” There is a Washington tradition of presidents calling on a Goldman Sachs luminary to take the reins of the economy, including the Democrat Robert E. Rubin in 1995 and Henry M. Paulson Jr. a Republican, in 2006. Mr. Mnuchin’s Goldman pedigree is as good as it gets, given that his father, Robert, was a pioneer in stock trading who spent 35 years at the firm. While the Goldman brand may have initially attracted Mr. Trump, for the broader financial community it is Mr. Mnuchin’s track record at hedge and private equity funds, which is where the real money is made on Wall Street these days, that makes him appealing. “Mnuchin as Treasury secretary is somebody who can speak to bankers  —   Jamie Dimon, Lloyd Blankfein, James Gorman and Brian Moynihan. He can speak their language,” said Gary Kaminsky, a former vice chairman at Morgan Stanley, referring to the chief executives of JPMorgan Chase, Goldman, Morgan Stanley and Bank of America. “He comes from a trading desk, and that’s something that is very strong,” Mr. Kaminsky, who has attended   for Mr. Trump, added. While there is little doubt that Mr. Mnuchin can speak the language of Wall Street, he has had little experience running large, complex bureaucracies. Mr. Rubin and Mr. Paulson had ascended to the top at Goldman, and had many years of experience managing people and organizations under their belt. Mr. Mnuchin did assume a leading role in the restructuring and reinventing of IndyMac, now known as OneWest, a California mortgage giant that collapsed in 2008. He and partners acquired the firm and later made billions. After he moved from New York to the West Coast, Mr. Mnuchin was targeted by protesters who claimed that the bank was too quick to foreclose on struggling homeowners. Last year the bank was sold to the CIT Group, a   lender run at the time by another Goldman Sachs alumnus, John A. Thain. In a statement announcing his economic appointments, Mr. Trump highlighted the deal. “He purchased IndyMac Bank for $1. 6 billion and ran it very professionally, selling it for $3. 4 billion plus a return of capital,” he said of Mr. Mnuchin. “That’s the kind of people I want in my administration representing our country. ” Mr. Mnuchin has faced other controversies. In 2010, he and his brother, Alan, were sued over their mother’s early investment with Bernard L. Madoff, an investor who was convicted of running a Ponzi scheme. The lawsuit, filed by a trustee for Madoff victims, alleged that $3. 2 million of the money Mr. Mnuchin withdrew from his mother’s account shortly after she died belonged to other victims. The lawsuit was dropped last year because of a time limit. Hollywood has been another reinvention for Mr. Mnuchin. In 2006, he and a partner, Chip Seelig, struck a deal through their company Dune Entertainment to invest $325 million in 28 movies produced by 20th Century Fox. It was a successful partnership Fox delivered hits (made in part with Dune’s money) like “Avatar,” which took in $2. 8 billion worldwide in 2009. After breaking with Mr. Seelig in 2012, Mr. Mnuchin teamed up with a company called RatPac, owned by the rowdy filmmaker Brett Ratner and the Australian billionaire James Packer. Mr. Ratner was then notorious in Hollywood he resigned as a producer of the Academy Awards in 2011 after using an   slur at a public event and making frank remarks about his sex life on Howard Stern’s radio show. (He apologized.) But together the three men formed a vehicle to invest $450 million in an extensive array of Warner Bros. movies. Some have been major hits, like “Gravity,” which took in $723. 2 million. But there have also been money losers, including “Pan” and “In the Heart of the Sea. ” Still, Mr. Mnuchin has clearly enjoyed a Hollywood lifestyle, whether attending   parties at the Hôtel du    during the Cannes Film Festival or going in with a movie industry friend to buy a Dassault Falcon 50 jet (since sold). He can currently be seen in a cameo  —   playing a Merrill Lynch executive  —   in Warren Beatty’s new movie “Rules Don’t Apply. ” Beyond the entertainment industry, there other similarities between Mr. Trump and Mr. Mnuchin. They are both twice divorced, and their third partners are decidedly younger. (Mr. Mnuchin’s fiancée is Louise Linton, a    actress from Scotland.) They also both have a taste for landmark Manhattan real estate: Trump Tower for the   and 740 Park Avenue for Mr. Mnuchin. But there are differences, too. Despite his Hollywood appetites, Mr. Mnuchin is described by people who know him as slightly awkward and not one to command a room. Friends of the two men describe them more as social and professional acquaintances than close friends. The names of flashier prospects had been floated as possible candidates for Treasury, according to a fund manager close to the  ’s economic brain trust. Among them: Henry Kravis of Kohlberg Kravis Roberts  Company, Jonathan Gray of Blackstone, Jamie Dimon, Mitt Romney, and Thomas J. Barrack Jr. of Colony Capital, a Los   real estate investor who has been close to Mr. Trump for decades.",0
